,"V skladu s Pravilnikom o prvih meritvah in obratovalnem monitoringu emisije snovi v zrak iz nepremičnih virov onesnaževanja ter o pogojih za njegovo izvajanje (Uradni list RS, št. 70/96, 71/00, 99/01 in 17/03), morajo vsi zavezanci za izvedbo emisijskega monitoringa snovi v zrak iz nepremičnih virov onesnaževanja pripraviti letno poročilo.

Na osnovi oddanih letnih poročil smo na Agenciji RS za okolje zbrali podatke o letnih količinah izpuščenih snovi v zrak iz industrijskih obratov, ki jih objavljamo na tej spletni strani.

Na tej spletni strani so osnovni podatki o zavezancu, obratu s katerim upravlja zavezanec in o letnih količinah izpuščenih snovi v zrak iz posameznega obrata. Podatki so v obliki excelove tabele, tako da jih lahko poljubno razvrščate.  
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,Podatki o zavezancu,,,,,Podatki,o obratu,,Podatki o emisijah v zrak,
1,Leto poročanja,Naziv zavezanca,Naslov zavezanca,Poštna številka,Ime pošte,Naselje obrata,Ulica obrata,Hišna št.obrata,Občina obrata,Onesnažilo,Letna količina [Kg]
2,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"anorganske spojine klora, če niso navedene v I. nevarnostni skupini, izražene kot HCl",261
3,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"baker in njegove spojine, izražene kot Cu",0.6
4,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,cink in njegove spojine (Zn),22.2
5,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"dušikovi oksidi (NO in NO2), izraženi kot NO2",2724
6,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"fluor in njegove spojine, izražene kot HF",160
7,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"kadmij in njegove spojine, izražene kot Cd",0.05
8,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"krom in njegove spojine, izražene kot Cr",16.8
9,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"mangan in njegove spojine, izražene kot Mn",46
10,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"nikelj in njegove spojine, izražene kot Ni",5.2
11,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,ogljikov monoksid (CO),145272
12,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"silicijev dioksid, v obliki kristalinskega prahu, SiO2",170.4
13,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,skupni prah,2188
14,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"svinec in njegove spojine, izražene kot Pb",8.4
15,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"živo srebro in njegove spojine, izražene kot Hg",0.0001
16,2003,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 51,2366,MUTA,MUTA,KOROŠKA CESTA,51,MUTA,"žveplovi oksidi (SO2 in SO3), izraženi kot SO2",913
17,2003,AC AVTOCENTER D.O.O.,LJUBLJANSKA CESTA 100,2310,SLOVENSKA BISTRICA,SLOVENSKA BISTRICA,,,SLOVENSKA BISTRICA,"organske spojine, izražene kot skupni organski ogljik (TOC)",105.22
18,2003,AC AVTOCENTER D.O.O.,LJUBLJANSKA CESTA 100,2310,SLOVENSKA BISTRICA,SLOVENSKA BISTRICA,,,SLOVENSKA BISTRICA,skupni prah,3.9
19,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,DOLANE,DOLANE,10,GORIŠNICA,"dušikovi oksidi (NO in NO2), izraženi kot NO2",4.9
20,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,DOLANE,DOLANE,10,GORIŠNICA,"hlapne organske spojine, razen metana",55926.3
21,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,DOLANE,DOLANE,10,GORIŠNICA,ogljikov monoksid (CO),20.7
22,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,DOLANE,DOLANE,10,GORIŠNICA,"organske spojine, izražene kot skupni organski ogljik (TOC)",55926.3
23,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,DOLANE,DOLANE,10,GORIŠNICA,skupni prah,161.5
24,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,DOLANE,DOLANE,10,GORIŠNICA,"dušikovi oksidi (NO in NO2), izraženi kot NO2",237.2
25,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,DOLANE,DOLANE,10,GORIŠNICA,ogljikov monoksid (CO),144.3
26,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,DOLANE,DOLANE,10,GORIŠNICA,skupni prah,1210.6
27,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,SLIVNICA PRI MARIBORU,MIKLAVŠKA CESTA,59,HOČE-SLIVNICA,"dušikovi oksidi (NO in NO2), izraženi kot NO2",362.6
28,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,SLIVNICA PRI MARIBORU,MIKLAVŠKA CESTA,59,HOČE-SLIVNICA,"hlapne organske spojine, razen metana",8233.4
29,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,SLIVNICA PRI MARIBORU,MIKLAVŠKA CESTA,59,HOČE-SLIVNICA,ogljikov monoksid (CO),404.6
30,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,SLIVNICA PRI MARIBORU,MIKLAVŠKA CESTA,59,HOČE-SLIVNICA,skupni prah,384.28200000000004
31,2003,ADK d.o.o. MARIBOR,JASKOVA ULICA 18,2000,MARIBOR,SLIVNICA PRI MARIBORU,MIKLAVŠKA CESTA,59,HOČE-SLIVNICA,"trdni delci, manjši od 10 mikrometrov",25.485
32,2003,ADUT D.O.O.,KOMPOLE 63,3220,ŠTORE,ŠTORE,ŽELEZARSKA CESTA,3,ŠTORE,"anorganske spojine klora, če niso navedene v I. nevarnostni skupini, izražene kot HCl",4.48
33,2003,ADUT D.O.O.,KOMPOLE 63,3220,ŠTORE,ŠTORE,ŽELEZARSKA CESTA,3,ŠTORE,"dušikovi oksidi (NO in NO2), izraženi kot NO2",544.1
34,2003,ADUT D.O.O.,KOMPOLE 63,3220,ŠTORE,ŠTORE,ŽELEZARSKA CESTA,3,ŠTORE,formaldehid (CH2O),0.038
35,2003,ADUT D.O.O.,KOMPOLE 63,3220,ŠTORE,ŠTORE,ŽELEZARSKA CESTA,3,ŠTORE,"hlapne organske spojine, razen metana",4.2
36,2003,ADUT D.O.O.,KOMPOLE 63,3220,ŠTORE,ŠTORE,ŽELEZARSKA CESTA,3,ŠTORE,ogljikov monoksid (CO),129.8
37,2003,ADUT D.O.O.,KOMPOLE 63,3220,ŠTORE,ŠTORE,ŽELEZARSKA CESTA,3,ŠTORE,skupni prah,17.54
38,2003,ADUT D.O.O.,KOMPOLE 63,3220,ŠTORE,ŠTORE,ŽELEZARSKA CESTA,3,ŠTORE,"žveplovi oksidi (SO2 in SO3), izraženi kot SO2",544.1
39,2003,AERO COPY d.o.o.,IPAVČEVA ULICA 23a,3000,CELJE,CELJE,IPAVČEVA ULICA,23,CELJE,alkilalkoholi,2033
40,2003,AERO COPY d.o.o.,IPAVČEVA ULICA 23a,3000,CELJE,CELJE,IPAVČEVA ULICA,23,CELJE,amonijak (NH3),994.6
41,2003,AERO COPY d.o.o.,IPAVČEVA ULICA 23a,3000,CELJE,CELJE,IPAVČEVA ULICA,23,CELJE,"dušikovi oksidi (NO in NO2), izraženi kot NO2",251
42,2003,AERO COPY d.o.o.,IPAVČEVA ULICA 23a,3000,CELJE,CELJE,IPAVČEVA ULICA,23,CELJE,formaldehid (CH2O),438.3
43,2003,AERO COPY d.o.o.,IPAVČEVA ULICA 23a,3000,CELJE,CELJE,IPAVČEVA ULICA,23,CELJE,"hlapne organske spojine, razen metana",12058.5
44,2003,AERO COPY d.o.o.,IPAVČEVA ULICA 23a,3000,CELJE,CELJE,IPAVČEVA ULICA,23,CELJE,mravljična kislina (CH2O2),0.6
45,2003,AERO COPY d.o.o.,IPAVČEVA ULICA 23a,3000,CELJE,CELJE,IPAVČEVA ULICA,23,CELJE,ogljikov dioksid (CO2),861765
46,2003,AERO COPY d.o.o.,IPAVČEVA ULICA 23a,3000,CELJE,CELJE,IPAVČEVA ULICA,23,CELJE,ogljikov monoksid (CO),12787
47,2003,AERO COPY d.o.o.,IPAVČEVA ULICA 23a,3000,CELJE,CELJE,IPAVČEVA ULICA,23,CELJE,stiren (C8H8),810.5
48,2003,AERO COPY d.o.o.,IPAVČEVA ULICA 23a,3000,CELJE,CELJE,IPAVČEVA ULICA,23,CELJE,"žveplovi oksidi (SO2 in SO3), izraženi kot SO2",159
49,2003,AERO PAPIROTI D.O.O.,IPAVČEVA ULICA 32,3000,CELJE,KRŠKO,TOVARNIŠKA ULICA,14,KRŠKO,alkilalkoholi,789.62
50,2003,AERO PAPIROTI D.O.O.,IPAVČEVA ULICA 32,3000,CELJE,KRŠKO,TOVARNIŠKA ULICA,14,KRŠKO,skupni prah,1.67
