,"V skladu s Pravilnikom o prvih meritvah in obratovalnem monitoringu emisije snovi v zrak iz nepremičnih virov onesnaževanja ter o pogojih za njegovo izvajanje (Uradni list RS, št. 70/96, 71/00, 99/01 in 17/03), morajo vsi zavezanci za izvedbo emisijskega monitoringa snovi v zrak iz nepremičnih virov onesnaževanja pripraviti letno poročilo.

Na osnovi oddanih letnih poročil smo na Agenciji RS za okolje zbrali podatke o letnih količinah izpuščenih snovi v zrak iz industrijskih obratov, ki jih objavljamo na tej spletni strani.

Na tej spletni strani so osnovni podatki o zavezancu, obratu s katerim upravlja zavezanec in o letnih količinah izpuščenih snovi v zrak iz posameznega obrata. Podatki so v obliki excelove tabele, tako da jih lahko poljubno razvrščate.  
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,Podatki o zavezancu,,,,,Podatki o obratu,,,,,Podatki o emisijah v zrak,
1,Leto poročanja,Naziv zavezanca,Naslov zavezanca,Poštna številka,Ime pošte,Naselje obrata,Ulica obrata,Hišna št.obrata,Dodatek k hiš. št.,Občina obrata,Onesnažilo,Letna količina [Kg]
2,2005,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,"fluor in njegove spojine, izražene kot HF",3.2
3,2005,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,ogljikov monoksid (CO),90714
4,2005,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,"organske spojine, izražene kot skupni organski ogljik (TOC)",144.6
5,2005,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,skupni prah,1240.4
6,2005,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,VSOTA prašnate anorg. snovi I.,1.4
7,2005,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,VSOTA prašnate anorg. snovi II.,8.9
8,2005,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,VSOTA prašnate anorg. snovi III.,50.3
9,2005,ABRASIV MUTA d.o.o.,KOROŠKA CESTA 49,2366,MUTA,MUTA,KOROŠKA CESTA,49,,MUTA,"žveplovi oksidi (SO2 in SO3), izraženi kot SO2",1046.3
