,"V skladu s Pravilnikom o prvih meritvah in obratovalnem monitoringu emisije snovi v zrak iz nepremičnih virov onesnaževanja ter o pogojih za njegovo izvajanje (Uradni list RS, št. 105/08), morajo vsi zavezanci za izvedbo emisijskega monitoringa snovi v zrak iz nepremičnih virov onesnaževanja poslati ministrstvu oceno o letnih emisijah snovi v zrak.

Na osnovi prejetih ocen o letnih emisijah snovi za leto 2013 v zrak smo na Agenciji RS za okolje zbrali podatke o letnih količinah izpuščenih snovi v zrak iz izpustov naprav in oceno razpršene emisije, ki jih objavljamo na tej spletni strani.

Na tej spletni strani so osnovni podatki o zavezancu in o letnih količinah izpuščenih snovi v zrak iz izpustov naprav ter ocene razpršene emisije snovi. Podatki so v obliki excelove tabele, tako da jih lahko poljubno razvrščate.  
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Podatki o zavezancu,,,,,,Podatki o emisijah v zrak,,
1,"Leto 
poročanja",Naziv zavezanca,Lokacija zavezanca,"Poštna 
številka",Ime pošte,Občina,Onesnažilo,"Emisija snovi 
iz izpustov [Kg]","Ocena razpršene 
emisije [Kg]"
2,2013,A.S. Avtoličarstvo Plut,"STANEŽIČE 10, LJUBLJANA",1000,LJUBLJANA,Ljubljana,celotni prah,16.799999237060547,0
3,2013,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,celotni prah,2344.3399963378906,157
4,2013,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,"baker in njegove spojine, izražene kot Cu",1.090000033378601,0
5,2013,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,"dušikovi oksidi (NO in NO2), izraženi kot NO2",28.030000686645508,0
6,2013,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,"krom in njegove spojine, izražene kot Cr",1.5499999523162842,0
7,2013,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,"mangan in njegove spojine, izražene kot Mn",23.579999923706055,0
8,2013,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,"svinec in njegove spojine, izražene kot Pb",8.050000190734863,0
9,2013,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,VSOTA prašnate anorg. snovi II.,8.050000190734863,0
10,2013,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,VSOTA prašnate anorg. snovi II. in III.,34.512001037597656,0
11,2013,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,VSOTA prašnate anorg. snovi III.,26.459999084472656,0
12,2013,ABRASIV MUTA d.o.o.,"KOROŠKA CESTA 49, MUTA",2366,MUTA,Muta,poliklorirani dibenzodioksini (PCDD) in poliklorirani dibenzofurani (PCDF),6.8999997893115506e-06,0
13,2013,ACER Furnirnica d.o.o.,Lesna ulica 4,3230,ŠENTJUR,Šentjur pri Celju,celotni prah,331.44400787353516,36
14,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,celotni prah,23628.839875221252,1136
15,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"mangan in njegove spojine, izražene kot Mn",179.16322112083435,0
16,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"krom in njegove spojine, izražene kot Cr",278.0606231689453,0
17,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"kositer in njegove spojine, izražene kot Sn",0.08318179845809937,0
18,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,klor (Cl2),36.29999923706055,0
19,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"kadmij in njegove spojine, izražene kot Cd",9.86999591672793,0
20,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"fluor in njegove spojine, izražene kot HF",38.06880187988281,0
21,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"baker in njegove spojine, izražene kot Cu",20.530409947037697,0
22,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,cink in njegove spojine (Zn),0.3149999976158142,0
23,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"nikelj in njegove spojine, izražene kot Ni",136.2579838167876,0
24,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"dušikovi oksidi (NO in NO2), izraženi kot NO2",30260.53285598755,2
25,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,ogljikov monoksid (CO),5056784,0
26,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"organske spojine, izražene kot skupni organski ogljik (TOC)",31314.692445755005,47
27,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,poliklorirani dibenzodioksini (PCDD) in poliklorirani dibenzofurani (PCDF),5.123939831719326e-05,0
28,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"selen in njegove spojine, izražene kot Se",0.01038060017162934,0
29,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,arzen in njegove spojine (As),0.042524999706074595,0
30,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"VSOTA prašnate anorg. snovi I., II. in III.",772.453369140625,0
31,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"svinec in njegove spojine, izražene kot Pb",220.73958738148212,0
32,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,VSOTA prašnate anorg. snovi II.,366.71270109526813,2
33,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,VSOTA prašnate anorg. snovi II. in III.,636.3368055336177,0
34,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,VSOTA prašnate anorg. snovi III.,624.2175175510347,1
35,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,VSOTA rakotvorne snovi I. nev. sk.,9.912520916434005,0
36,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,"vanadij in njegove spojine, izražene kot V",0.015444000251591206,0
37,2013,"ACRONI, D.O.O.","CESTA BORISA KIDRIČA 44, JESENICE",4270,JESENICE,Jesenice,VSOTA prašnate anorg. snovi I. in II.,130.57200622558594,0
38,2013,ADK D.O.O.,"MIKLAVŠKA CESTA 59, HOČE-SLIVNICA",2311,HOČE,Hoče-Slivnica,celotni prah,612.0250053405762,31
39,2013,ADK D.O.O.,"Dolane 33/a, CIRKULANE",2282,CIRKULANE,Cirkulane,celotni prah,76.40639972686768,4
40,2013,ADK D.O.O.,"Dolane 33/a, CIRKULANE",2282,CIRKULANE,Cirkulane,"organske spojine, izražene kot skupni organski ogljik (TOC)",8304,650
41,2013,ADRIA MOBIL,STRAŠKA CESTA 50,8000,NOVO MESTO,Novo mesto,"organske spojine, izražene kot skupni organski ogljik (TOC)",1926.0599975585938,0
42,2013,"ADRIA PLUS, d.o.o. Novo mesto ",Straška cesta 50,8000,NOVO MESTO,Novo mesto,celotni prah,4.162499904632568,0
43,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,"baker in njegove spojine, izražene kot Cu",0.01899999938905239,0
44,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,"anorganske spojine klora, če niso navedene v I. nevarnostni skupini, izražene kot HCl",1.6540000438690186,0
45,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,"nikelj in njegove spojine, izražene kot Ni",0.01899999938905239,0
46,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,arzen in njegove spojine (As),0.01899999938905239,0
47,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,VSOTA prašnate anorg. snovi II.,0.34599998593330383,0
48,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,VSOTA prašnate anorg. snovi II. in III.,0.34599998593330383,0
49,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,"krom in njegove spojine, izražene kot Cr",0.01899999938905239,0
50,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,VSOTA rakotvorne snovi I. nev. sk.,0.03700000047683716,0
51,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,"svinec in njegove spojine, izražene kot Pb",0.34599998593330383,0
52,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,celotni prah,24.816399574279785,2
53,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,"dušikovi oksidi (NO in NO2), izraženi kot NO2",57.79999923706055,0
54,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,"fluor in njegove spojine, izražene kot HF",2.569999933242798,0
55,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,formaldehid (CH2O),0.10559999942779541,0
56,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,"hlapne organske spojine, razen metana",8.69320011138916,0
57,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,"kadmij in njegove spojine, izražene kot Cd",0.03700000047683716,0
58,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,"žveplovi oksidi (SO2 in SO3), izraženi kot SO2",80.19999694824219,0
59,2013,ADUT LIVARNA SIVE IN NODULARNE LITINE D.O.O.,"KOMPOLE 63, ŠTORE",3220,ŠTORE,Štore,VSOTA prašnate anorg. snovi III.,0.01899999938905239,0
60,2013,"AERO IDA, d.o.o.",Šempeter,3311,ŠEMPETER V SAVINJSKI DOLINI,Žalec,"organske spojine, izražene kot skupni organski ogljik (TOC)",623.743679523468,0
61,2013,AGROIND VIPAVA 1894 Vipava d.d.,"Vinarska cesta 5, Vipava",5271,VIPAVA,Vipava,celotni prah,1.3229999542236328,0
